control_type,control_name,outcome,metric,control_value,details,replicates,observed_increment,permuted_mean,permuted_median,permuted_p95,maxT_fwer_p
subset_increment,noop_engage_pairs,high_threat_legal_but_unassigned_changed,balanced_accuracy,0.05083297747532045,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,noop_engage_pairs,high_threat_legal_but_unassigned_changed,log_loss,0.13230163847194487,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,noop_engage_pairs,prefix_denied_changed,auroc,0.29486098001634653,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,noop_engage_pairs,prefix_denied_changed,balanced_accuracy,0.3320621831745616,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,noop_engage_pairs,prefix_denied_changed,log_loss,0.6292207988748443,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,noop_engage_pairs,engagement_extreme_direction_nonzero,auroc,0.021146776612001372,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,noop_engage_pairs,engagement_extreme_direction_nonzero,balanced_accuracy,0.015191124476104045,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
subset_increment,noop_engage_pairs,engagement_extreme_direction_nonzero,log_loss,0.07587017887016012,M1-M0 for score metrics; M0-M1 for log loss.,,,,,,
stratified_ds_permutation,,high_threat_legal_but_unassigned_changed,auroc,,,1000.0,0.06652765724937926,-0.00013719258303900928,-0.0001713377006489214,0.0004191546087960573,0.000999000999000999
stratified_ds_permutation,,high_threat_legal_but_unassigned_changed,balanced_accuracy,,,1000.0,0.055062188213226615,8.345568186403296e-05,0.00021695111368236208,0.0009045012450605848,0.000999000999000999
stratified_ds_permutation,,prefix_denied_changed,auroc,,,1000.0,0.08785635107947987,-0.00019604115470402906,-0.0002369509940434722,0.00042408639716480734,0.000999000999000999
stratified_ds_permutation,,prefix_denied_changed,balanced_accuracy,,,1000.0,0.10078954191827605,-0.00024029513507472478,-0.00022713850906286304,0.0016679723729448963,0.000999000999000999
stratified_ds_permutation,,engagement_extreme_direction_nonzero,auroc,,,1000.0,0.0028417617826012043,-0.00011228457725608809,-2.9154327818581294e-05,0.00019746108009460734,0.01998001998001998
stratified_ds_permutation,,engagement_extreme_direction_nonzero,balanced_accuracy,,,1000.0,0.0,-6.650734704168548e-06,0.0,0.0,0.999000999000999
